Date,Affected pages
2026-02-21,5213
2026-02-22,4915
2026-02-23,4915
2026-02-24,4915
2026-02-25,4318
2026-02-26,4318
2026-02-27,4318
2026-02-28,4318
2026-03-01,4318
2026-03-02,4318
2026-03-03,4318
2026-03-04,3992
2026-03-05,3992
2026-03-06,3992
2026-03-07,3992
2026-03-08,3795
2026-03-09,3795
2026-03-10,3795
2026-03-11,3630
2026-03-12,3630
2026-03-13,3630
2026-03-14,3630
2026-03-15,3630
2026-03-16,3563
2026-03-17,3563
2026-03-18,3493
2026-03-19,3493
2026-03-20,3493
2026-03-21,3493
2026-03-22,3434
2026-03-23,3434
2026-03-24,3434
2026-03-25,3429
2026-03-26,3429
2026-03-27,3429
2026-03-28,3429
2026-03-29,3398
2026-03-30,3398
2026-03-31,3398
2026-04-01,3349
2026-04-02,3349
2026-04-03,3349
2026-04-04,3349
2026-04-05,3302
2026-04-06,3302
2026-04-07,3224
2026-04-08,3224
2026-04-09,3224
2026-04-10,3224
2026-04-11,3120
2026-04-12,3120
2026-04-13,3120
2026-04-14,3181
2026-04-15,3181
2026-04-16,3181
2026-04-17,3181
2026-04-18,3653
2026-04-19,3653
2026-04-20,3653
2026-04-21,7188
2026-04-22,7188
2026-04-23,7188
2026-04-24,7188
2026-04-25,7833
2026-04-26,7833
2026-04-27,7833
2026-04-28,8215
2026-04-29,8215
2026-04-30,8215
2026-05-01,8215
2026-05-02,8724
2026-05-03,8724
2026-05-04,8724
2026-05-05,11145
2026-05-06,11145
2026-05-07,11145
2026-05-08,11145
2026-05-09,12359
2026-05-10,12359
2026-05-11,12359
2026-05-12,12396
2026-05-13,12396
2026-05-14,12396
2026-05-15,12396
2026-05-16,12340
2026-05-17,12340
2026-05-18,12340
