Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mc-0699477,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см,"<p><strong>Градински фотьойл LEONE в сив цвят</strong></p><ul>
<li>
<strong>Размери:</strong> 55x74x90 см</li>
<li>
<strong>Размери на седалката:</strong> 46x42 см</li>
<li>
<strong>Размери на облегалката:</strong> 46x58 см</li>
<li>
<strong>Височина на седалката:</strong> 42 см</li>
<li>
<strong>Височина на подлакътниците:</strong> 58 см</li>
<li>
<strong>Разстояние между краката:</strong> 47x62 см</li>
<li>
<strong>Размери на металната конструкция:</strong> 40x14x0,8 мм</li>
<li>
<strong>Материали:</strong> Метален скелет; седалка и облегалка от висококачествен текстилен (textilene) 1x2, изработен от полиестерни нишки</li>
<li>
<strong>Поддръжка:</strong> Лесна за почистване с влажна кърпа и редовно прахосмучене</li>
<li>
<strong>Предимства:</strong> Здрава конструкция, модерен дизайн, лесна поддръжка, сгъваема за компактно съхранение, отлично съотношение цена-качество</li>
</ul><p><em>Цветовото представяне може да варира леко в зависимост от настройките на екрана.</em></p>",Europe,,Градински столове и фотьойли,"Градина, Градински мебели, Градински столове, Градински фотьойли",false,Title,Default Title,,,,,,,,0699477,4600.0,shopify,1021,deny,manual,38.25,25.87,true,true,,,,,5208067208567,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki.jpg?v=1779955127,1,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 1,false,Градински фотьойл LEONE метален с текстилен сив 55x74x90 см,"Градински фотьойл LEONE с метална конструкция и текстилен сив материал. Практичен, лесен за поддръжка и сгъваем за спестяване на място.",,,,,,,,,,,,,,,,,,kg,,,draft
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--1.jpg?v=1779955127,2,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 2,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--2.jpg?v=1779955127,3,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 3,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--3.jpg?v=1779955126,4,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 4,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--4.jpg?v=1779955127,5,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 5,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--5.jpg?v=1779955127,6,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 6,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--6.jpg?v=1779955127,7,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 7,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--7.jpg?v=1779955127,8,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 8,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--8.jpg?v=1779955127,9,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 9,,,,,,,,,,,,,,,,,,,,,,,,
mc-0699477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/7041/9533/files/polythrona-exchoroy-fb9642901-metalliki--9.jpg?v=1779955127,10,Метална градинска фотьойл LEONE в сив цвят 55x74x90 см - снимка 10,,,,,,,,,,,,,,,,,,,,,,,,
