Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Variant Grams,Status
mc-0516410,Ъглов диван GORO десен от черен PU 270x200x87 см,"<p><strong>Канапе с дясна ъглова част, тапицирано с техническа кожа в черен нюанс и високи метални крака.</strong></p><br />
<p>Ако търсите ъглов диван, който да се отличава с практичност, комфорт и естетика, тогава сте намерили подходящия продукт.</p><br />
<p>Гъвкав ъглов диван, който може да се адаптира според изискванията на вашето пространство, представлява умно и практично решение за спестяване на място в офиса или дома.</p><br />
<p>С облегалки за глава, които имат специален механизъм за повдигане при желание.</p><br />
<p>С класически дизайн и висококачествени материали, подходящ за всяко място във вашия дом или офис.</p><br />
<p>Идеален избор за вас, ако търсите нещо елегантно, функционално и качествено.</p><br />
<p><strong>Размери:</strong><br />
270x200x87Y см.</p>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0516410,shopify,11,deny,manual,1147.00,779.87,TRUE,TRUE,5208067010597,https://www.b2bmarkt.gr/img/prd/o/58025/kanapes-gonia-dexia-fb9308402r-apo-mayro.jpg,1,Ъглов диван GORO дясна R от черен PU 270x200x87В см - снимка 1,FALSE,Ъглов диван GORO десен R от черен PU 270x200x87 см,"Ъглов диван GORO десен R от черен PU, с високи метални крака и тапицерия от изкуствена кожа в черен цвят.",kg,104000,draft
mc-0516410,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/58025/kanapes-gonia-dexia-fb9308402r-apo-mayro-1.jpg,2,Ъглов диван GORO дясна R от черен PU 270x200x87В см - снимка 2,,,,,,
mc-0532667,Ъглов диван Landon от черна еко кожа 118x66x93 см,"<p><strong>Серия Landon</strong></p><p>се състои от отделни модули, които оформят цялостни дивани с различни форми, съобразени с наличното пространство, подходящи за професионални помещения.</p><p>Ъглов модул, тапициран с техническа кожа в черен нюанс, идеален за професионални пространства.</p><p>Можете лесно да го комбинирате с останалата част от серия LANDON, за да го разширите според вашето пространство.</p><ul><li><strong>Размери:</strong> 118x66x93 см</li><li><strong>Размер на седалката:</strong> 30-86x43 см</li><li><strong>Височина на седалката:</strong> 45 см</li><li><strong>Височина на облегалката:</strong> 54 см</li><li><strong>Височина на крака:</strong> 5 см</li></ul>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0532667,shopify,3,deny,manual,217.00,299.9,TRUE,TRUE,5208067065504,https://www.b2bmarkt.gr/img/prd/o/63494/kanapes-goniakos-landon-hm316301-apo-tec.jpg,1,Ъглов диван LANDON от черна еко кожа 118x66x93В см - снимка 1,FALSE,"Ъглов диван LANDON от еко кожа, черен, 118x66x93 см",Ъглов диван LANDON от еко кожа М - серия Landon включва отделни модули за създаване на цялостни дивани с различни форми.,kg,21000,draft
mc-0532667,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/63494/kanapes-goniakos-landon-hm316301-apo-tec-1.jpg,2,Ъглов диван LANDON от черна еко кожа 118x66x93В см - снимка 2,,,,,,
mc-0512016,Кожен диван бял 147 см ширина,<p><strong>Въведение</strong></p><p>Дермантин в БЯЛ цвят за подмяна на стари приложения или дори за нови приложения. ПРОДАВА СЕ НА МЕТЪР.</p><ul><li><strong>Ширина:</strong> 147 см</li></ul><p><strong>Забележка:</strong> Цветопредаването на продукта може леко да се различава от фотографското му изображение на вашия екран.</p>,Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0512016,shopify,37,deny,manual,19.22,12.9,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/74903/dermatini-se-leyko-fb91833202-147ekplato.jpg,1,Кожа в бяло 147см ширина - снимка 1,FALSE,Бяла кожена тапицерия 147 см ширина,ДЕРМАТИН В БЯЛ ЦВЯТ 147см ШИРИНА - Дерматин в бял цвят за подмяна на стари приложения или за нови проекти. ПРОДАВА СЕ,kg,1800,draft
mc-0512016,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74903/dermatini-se-leyko-fb91833202-147ekplato-1.jpg,2,Кожа в бяло 147см ширина - снимка 2,,,,,,
mc-0512016,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74903/dermatini-se-leyko-fb91833202-147ekplato-2.jpg,3,Кожа в бяло 147см ширина - снимка 3,,,,,,
mc-0512016,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74903/dermatini-se-leyko-fb91833202-147ekplato-3.jpg,4,Кожа в бяло 147см ширина - снимка 4,,,,,,
mc-0512016,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74903/dermatini-se-leyko-fb91833202-147ekplato-4.jpg,5,Кожа в бяло 147см ширина - снимка 5,,,,,,
mc-0512276,Кожен материал в бежов цвят 147 см ширина,<p><strong>Въведение</strong></p><p>Дермантин в БЕЖОВ цвят за подмяна на стари приложения или дори за нови приложения. ПРОДАВА СЕ НА ЛИНЕЕН МЕТЪР.</p><ul><li><strong>Ширина:</strong> 147 см</li></ul><p><strong>Забележка:</strong> Цветопредаването на продукта може леко да се различава от фотографското му представяне на вашия екран.</p>,Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0512276,shopify,40,deny,manual,19.22,12.9,TRUE,TRUE,HM18332.03,https://www.b2bmarkt.gr/img/prd/o/74904/dermatini-se-mpez-chroma-fb91833203-147e.jpg,1,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - снимка 1,FALSE,Кожен плат в бежов цвят 147 см ширина,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - Дерматин в бежов цвят за подмяна на стари приложения или за нови проекти. ПРОДАВА СЕ,kg,1800,draft
