Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
mc-0509932,"Детско легло Монтесори с предпазители, естествен-бял, 190x90cm","<p><strong>Представяме ви детското легло «MUNK» тип Montessori, създадено в съответствие с образователната система Монтесори, която насърчава децата да учат по-добре, когато сами избират своите дейности. Ниската височина на леглото помага на децата да изследват своята автономност и да се качват и слизат свободно по всяко време. С размери за единичен матрак 90x190cm, това е висококачествен, модерен и безопасен избор за детската стая. Изработено е от дърво в двуцветно изпълнение НАТУРАЛНО-БЯЛО, боядисано с безопасен лак на водна основа, който е нетоксичен и идеален за деца. Матракът се поставя директно върху летви от шперплат. Леглото има форма на къща, която придава уютен и игрив вид на всяка детска стая, като разполага и с периметрални предпазни огради за допълнителна безопасност.</strong></p>

<ul>
<li><strong>Размери:</strong> 200x97x157H cm (общи)</li>
<li><strong>Размери на матрака:</strong> 90x190cm</li>
<li><strong>Материал:</strong> Изцяло изработено от масивно дърво бор. Борът е меко, бяло или светложълто дърво, което е леко по тегло, с прави влакна и устойчиво на свиване, разширяване и огъване.</li>
<li><strong>Поддръжка:</strong> За лесно почистване използвайте влажна кърпа върху всички повърхности. Не използвайте силни белизачи.</li>
</ul>

<p>*Продуктът се доставя немонтиран в оригинални опаковки.<br />
**Точният цвят на продукта може леко да варира от реалния поради различните настройки на всеки екран.<br />
***Този код не включва матрак.</p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Κρεβάτια,[L] Κρεβάτια,Детска стая,FALSE,Title,Default Title,0509932,shopify,57,deny,manual,179.9,233.87,TRUE,TRUE,5208067211567,https://www.b2bmarkt.gr/img/prd/o/76363/krebati-paidiko-me-kagkela-fb973903-tmon.jpg,1,ДЕТСКО ЛЕГНО С ПРЕГРАДА MUNK HM739.03 т.MONTESSORI БОР НАТУРАЛ-БЯЛО--190x90cm - снимка 1,FALSE,Детско легно Монтесори с предпазител MUNK HM739.03 бор natur-бяло,"Детско легло с предпазители MUNK HM739.03 тип Montessori – представяме ви новото детско легло „MUNK“, което е тип Монтесори, което означава, че",kg,draft
mc-0509932,"Детско легло Монтесори с предпазители, естествен-бял, 190x90cm","<p><strong>Представяме ви детското легло «MUNK» тип Montessori, създадено в съответствие с образователната система Монтесори, която насърчава децата да учат по-добре, когато сами избират своите дейности. Ниската височина на леглото помага на децата да изследват своята автономност и да се качват и слизат свободно по всяко време. С размери за единичен матрак 90x190cm, това е висококачествен, модерен и безопасен избор за детската стая. Изработено е от дърво в двуцветно изпълнение НАТУРАЛНО-БЯЛО, боядисано с безопасен лак на водна основа, който е нетоксичен и идеален за деца. Матракът се поставя директно върху летви от шперплат. Леглото има форма на къща, която придава уютен и игрив вид на всяка детска стая, като разполага и с периметрални предпазни огради за допълнителна безопасност.</strong></p>

<ul>
<li><strong>Размери:</strong> 200x97x157H cm (общи)</li>
<li><strong>Размери на матрака:</strong> 90x190cm</li>
<li><strong>Материал:</strong> Изцяло изработено от масивно дърво бор. Борът е меко, бяло или светложълто дърво, което е леко по тегло, с прави влакна и устойчиво на свиване, разширяване и огъване.</li>
<li><strong>Поддръжка:</strong> За лесно почистване използвайте влажна кърпа върху всички повърхности. Не използвайте силни белизачи.</li>
</ul>

<p>*Продуктът се доставя немонтиран в оригинални опаковки.<br />
**Точният цвят на продукта може леко да варира от реалния поради различните настройки на всеки екран.<br />
***Този код не включва матрак.</p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Κρεβάτια,[L] Κρεβάτια,Детска стая,FALSE,Title,Default Title,0509932,shopify,57,deny,manual,179.9,233.87,TRUE,TRUE,5208067211567,https://www.b2bmarkt.gr/img/prd/o/76363/krebati-paidiko-me-kagkela-fb973903-tmon-1.jpg,2,ДЕТСКО ЛЕГНО С ПРЕГРАДА MUNK HM739.03 т.MONTESSORI БОР НАТУРАЛ-БЯЛО--190x90cm - снимка 2,FALSE,Детско легно Монтесори с предпазител MUNK HM739.03 бор natur-бяло,"Детско легло с предпазители MUNK HM739.03 тип Montessori – представяме ви новото детско легло „MUNK“, което е тип Монтесори, което означава, че",kg,draft
mc-0509932,"Детско легло Монтесори с предпазители, естествен-бял, 190x90cm","<p><strong>Представяме ви детското легло «MUNK» тип Montessori, създадено в съответствие с образователната система Монтесори, която насърчава децата да учат по-добре, когато сами избират своите дейности. Ниската височина на леглото помага на децата да изследват своята автономност и да се качват и слизат свободно по всяко време. С размери за единичен матрак 90x190cm, това е висококачествен, модерен и безопасен избор за детската стая. Изработено е от дърво в двуцветно изпълнение НАТУРАЛНО-БЯЛО, боядисано с безопасен лак на водна основа, който е нетоксичен и идеален за деца. Матракът се поставя директно върху летви от шперплат. Леглото има форма на къща, която придава уютен и игрив вид на всяка детска стая, като разполага и с периметрални предпазни огради за допълнителна безопасност.</strong></p>

<ul>
<li><strong>Размери:</strong> 200x97x157H cm (общи)</li>
<li><strong>Размери на матрака:</strong> 90x190cm</li>
<li><strong>Материал:</strong> Изцяло изработено от масивно дърво бор. Борът е меко, бяло или светложълто дърво, което е леко по тегло, с прави влакна и устойчиво на свиване, разширяване и огъване.</li>
<li><strong>Поддръжка:</strong> За лесно почистване използвайте влажна кърпа върху всички повърхности. Не използвайте силни белизачи.</li>
</ul>

<p>*Продуктът се доставя немонтиран в оригинални опаковки.<br />
**Точният цвят на продукта може леко да варира от реалния поради различните настройки на всеки екран.<br />
***Този код не включва матрак.</p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Κρεβάτια,[L] Κρεβάτια,Детска стая,FALSE,Title,Default Title,0509932,shopify,57,deny,manual,179.9,233.87,TRUE,TRUE,5208067211567,https://www.b2bmarkt.gr/img/prd/o/76363/krebati-paidiko-me-kagkela-fb973903-tmon-2.jpg,3,ДЕТСКО ЛЕГНО С ПРЕГРАДА MUNK HM739.03 т.MONTESSORI БОР НАТУРАЛ-БЯЛО--190x90cm - снимка 3,FALSE,Детско легно Монтесори с предпазител MUNK HM739.03 бор natur-бяло,"Детско легло с предпазители MUNK HM739.03 тип Montessori – представяме ви новото детско легло „MUNK“, което е тип Монтесори, което означава, че",kg,draft
mc-0509932,"Детско легло Монтесори с предпазители, естествен-бял, 190x90cm","<p><strong>Представяме ви детското легло «MUNK» тип Montessori, създадено в съответствие с образователната система Монтесори, която насърчава децата да учат по-добре, когато сами избират своите дейности. Ниската височина на леглото помага на децата да изследват своята автономност и да се качват и слизат свободно по всяко време. С размери за единичен матрак 90x190cm, това е висококачествен, модерен и безопасен избор за детската стая. Изработено е от дърво в двуцветно изпълнение НАТУРАЛНО-БЯЛО, боядисано с безопасен лак на водна основа, който е нетоксичен и идеален за деца. Матракът се поставя директно върху летви от шперплат. Леглото има форма на къща, която придава уютен и игрив вид на всяка детска стая, като разполага и с периметрални предпазни огради за допълнителна безопасност.</strong></p>

<ul>
<li><strong>Размери:</strong> 200x97x157H cm (общи)</li>
<li><strong>Размери на матрака:</strong> 90x190cm</li>
<li><strong>Материал:</strong> Изцяло изработено от масивно дърво бор. Борът е меко, бяло или светложълто дърво, което е леко по тегло, с прави влакна и устойчиво на свиване, разширяване и огъване.</li>
<li><strong>Поддръжка:</strong> За лесно почистване използвайте влажна кърпа върху всички повърхности. Не използвайте силни белизачи.</li>
</ul>

<p>*Продуктът се доставя немонтиран в оригинални опаковки.<br />
**Точният цвят на продукта може леко да варира от реалния поради различните настройки на всеки екран.<br />
***Този код не включва матрак.</p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Κρεβάτια,[L] Κρεβάτια,Детска стая,FALSE,Title,Default Title,0509932,shopify,57,deny,manual,179.9,233.87,TRUE,TRUE,5208067211567,https://www.b2bmarkt.gr/img/prd/o/76363/krebati-paidiko-me-kagkela-fb973903-tmon-3.jpg,4,ДЕТСКО ЛЕГНО С ПРЕГРАДА MUNK HM739.03 т.MONTESSORI БОР НАТУРАЛ-БЯЛО--190x90cm - снимка 4,FALSE,Детско легно Монтесори с предпазител MUNK HM739.03 бор natur-бяло,"Детско легло с предпазители MUNK HM739.03 тип Montessori – представяме ви новото детско легло „MUNK“, което е тип Монтесори, което означава, че",kg,draft
mc-0509932,"Детско легло Монтесори с предпазители, естествен-бял, 190x90cm","<p><strong>Представяме ви детското легло «MUNK» тип Montessori, създадено в съответствие с образователната система Монтесори, която насърчава децата да учат по-добре, когато сами избират своите дейности. Ниската височина на леглото помага на децата да изследват своята автономност и да се качват и слизат свободно по всяко време. С размери за единичен матрак 90x190cm, това е висококачествен, модерен и безопасен избор за детската стая. Изработено е от дърво в двуцветно изпълнение НАТУРАЛНО-БЯЛО, боядисано с безопасен лак на водна основа, който е нетоксичен и идеален за деца. Матракът се поставя директно върху летви от шперплат. Леглото има форма на къща, която придава уютен и игрив вид на всяка детска стая, като разполага и с периметрални предпазни огради за допълнителна безопасност.</strong></p>

<ul>
<li><strong>Размери:</strong> 200x97x157H cm (общи)</li>
<li><strong>Размери на матрака:</strong> 90x190cm</li>
<li><strong>Материал:</strong> Изцяло изработено от масивно дърво бор. Борът е меко, бяло или светложълто дърво, което е леко по тегло, с прави влакна и устойчиво на свиване, разширяване и огъване.</li>
<li><strong>Поддръжка:</strong> За лесно почистване използвайте влажна кърпа върху всички повърхности. Не използвайте силни белизачи.</li>
</ul>

<p>*Продуктът се доставя немонтиран в оригинални опаковки.<br />
**Точният цвят на продукта може леко да варира от реалния поради различните настройки на всеки екран.<br />
***Този код не включва матрак.</p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Κρεβάτια,[L] Κρεβάτια,Детска стая,FALSE,Title,Default Title,0509932,shopify,57,deny,manual,179.9,233.87,TRUE,TRUE,5208067211567,https://www.b2bmarkt.gr/img/prd/o/76363/krebati-paidiko-me-kagkela-fb973903-tmon-4.jpg,5,ДЕТСКО ЛЕГНО С ПРЕГРАДА MUNK HM739.03 т.MONTESSORI БОР НАТУРАЛ-БЯЛО--190x90cm - снимка 5,FALSE,Детско легно Монтесори с предпазител MUNK HM739.03 бор natur-бяло,"Детско легло с предпазители MUNK HM739.03 тип Montessori – представяме ви новото детско легло „MUNK“, което е тип Монтесори, което означава, че",kg,draft
mc-9995264,"Детски комплект мебели 6 части PASCHAL, бор-меламин-бял","<p><strong>Комплект за детска стая PASCHAL от 6 части, включващ нощно шкафче, легло тип Монтесори с предпазни парапети и матрак, гардероб, комод и детско бюро!</strong></p>

<p><strong>HM2488.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско нощно шкафче</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 46x30x55cm</li>
<li><strong>Размери на чекмеджето:</strong> 37x24x15,8cm</li>
<li><strong>Размери на рафта:</strong> 37x26,5x16cm</li>
</ul>

<p><strong>HM739.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско легло във форма на палатка тип Монтесори с предпазен парапет</li>
<li><strong>Материали:</strong> Дърво бор в БЯЛ-НАТУРАЛ цвят</li>
<li><strong>Общи размери:</strong> 200x97x157cm</li>
</ul>

<p><strong>HM374.01</strong></p>
<ul>
<li><strong>Продукт:</strong> Матрак от пяна (без пружини) с roll-packing опаковка</li>
<li><strong>Размери:</strong> 190x90x15cm</li>
</ul>

<p><strong>HM2494.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски гардероб</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 96x44x170cm</li>
<li><strong>Размери на рафтовете:</strong> 86,5x40,5x27cm</li>
<li><strong>Височина на закачането:</strong> 81,5cm</li>
</ul>

<p><strong>HM2493.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски комод с 3 чекмеджета</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 76x40x80.5cm</li>
<li><strong>Размери на чекмеджетата:</strong> 61.5x28.7x12.5cm</li>
</ul>

<p><strong>HM2496.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско бюро с едно чекмедже и един шкаф</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 120x55x75cm</li>
<li><strong>Размери на шкафа:</strong> 40x54x38cm</li>
<li><strong>Размери на чекмеджето:</strong> 34,5x38,5x10cm</li>
<li><strong>Размери на рафта:</strong> 69,5x45,5x18,5cm</li>
</ul>

<p><strong>*Продуктите се доставят немонтирани в оригинални фабрични опаковки.</strong></p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Παιδικά πακέτα,[L] Παιδικά πακέτα,Детска стая,FALSE,Title,Default Title,9995264,shopify,29,deny,manual,724.27,928.58,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/76434/set-paidikoy-domatioy-6tmx-fb921337-xylo.jpg,1,Детски комплект стая 6 части PASCHAL HM21337 бор--меламин-бяло - снимка 1,FALSE,Детски комплект мебели 6 части PASCHAL HM21337 бор/бяло,"Комплект за детска стая 6 части PASCHAL HM21337 от бор. Включва нощно шкафче, легло тип Монтесори и още мебели за уют и организация. Поръчайте от MebelCenter!",kg,draft
mc-9995264,"Детски комплект мебели 6 части PASCHAL, бор-меламин-бял","<p><strong>Комплект за детска стая PASCHAL от 6 части, включващ нощно шкафче, легло тип Монтесори с предпазни парапети и матрак, гардероб, комод и детско бюро!</strong></p>

<p><strong>HM2488.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско нощно шкафче</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 46x30x55cm</li>
<li><strong>Размери на чекмеджето:</strong> 37x24x15,8cm</li>
<li><strong>Размери на рафта:</strong> 37x26,5x16cm</li>
</ul>

<p><strong>HM739.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско легло във форма на палатка тип Монтесори с предпазен парапет</li>
<li><strong>Материали:</strong> Дърво бор в БЯЛ-НАТУРАЛ цвят</li>
<li><strong>Общи размери:</strong> 200x97x157cm</li>
</ul>

<p><strong>HM374.01</strong></p>
<ul>
<li><strong>Продукт:</strong> Матрак от пяна (без пружини) с roll-packing опаковка</li>
<li><strong>Размери:</strong> 190x90x15cm</li>
</ul>

<p><strong>HM2494.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски гардероб</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 96x44x170cm</li>
<li><strong>Размери на рафтовете:</strong> 86,5x40,5x27cm</li>
<li><strong>Височина на закачането:</strong> 81,5cm</li>
</ul>

<p><strong>HM2493.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски комод с 3 чекмеджета</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 76x40x80.5cm</li>
<li><strong>Размери на чекмеджетата:</strong> 61.5x28.7x12.5cm</li>
</ul>

<p><strong>HM2496.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско бюро с едно чекмедже и един шкаф</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 120x55x75cm</li>
<li><strong>Размери на шкафа:</strong> 40x54x38cm</li>
<li><strong>Размери на чекмеджето:</strong> 34,5x38,5x10cm</li>
<li><strong>Размери на рафта:</strong> 69,5x45,5x18,5cm</li>
</ul>

<p><strong>*Продуктите се доставят немонтирани в оригинални фабрични опаковки.</strong></p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Παιδικά πακέτα,[L] Παιδικά πακέτα,Детска стая,FALSE,Title,Default Title,9995264,shopify,29,deny,manual,724.27,928.58,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/76434/set-paidikoy-domatioy-6tmx-fb921337-xylo-1.jpg,2,Детски комплект стая 6 части PASCHAL HM21337 бор--меламин-бяло - снимка 2,FALSE,Детски комплект мебели 6 части PASCHAL HM21337 бор/бяло,"Комплект за детска стая 6 части PASCHAL HM21337 от бор. Включва нощно шкафче, легло тип Монтесори и още мебели за уют и организация. Поръчайте от MebelCenter!",kg,draft
mc-9995264,"Детски комплект мебели 6 части PASCHAL, бор-меламин-бял","<p><strong>Комплект за детска стая PASCHAL от 6 части, включващ нощно шкафче, легло тип Монтесори с предпазни парапети и матрак, гардероб, комод и детско бюро!</strong></p>

<p><strong>HM2488.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско нощно шкафче</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 46x30x55cm</li>
<li><strong>Размери на чекмеджето:</strong> 37x24x15,8cm</li>
<li><strong>Размери на рафта:</strong> 37x26,5x16cm</li>
</ul>

<p><strong>HM739.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско легло във форма на палатка тип Монтесори с предпазен парапет</li>
<li><strong>Материали:</strong> Дърво бор в БЯЛ-НАТУРАЛ цвят</li>
<li><strong>Общи размери:</strong> 200x97x157cm</li>
</ul>

<p><strong>HM374.01</strong></p>
<ul>
<li><strong>Продукт:</strong> Матрак от пяна (без пружини) с roll-packing опаковка</li>
<li><strong>Размери:</strong> 190x90x15cm</li>
</ul>

<p><strong>HM2494.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски гардероб</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 96x44x170cm</li>
<li><strong>Размери на рафтовете:</strong> 86,5x40,5x27cm</li>
<li><strong>Височина на закачането:</strong> 81,5cm</li>
</ul>

<p><strong>HM2493.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски комод с 3 чекмеджета</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 76x40x80.5cm</li>
<li><strong>Размери на чекмеджетата:</strong> 61.5x28.7x12.5cm</li>
</ul>

<p><strong>HM2496.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско бюро с едно чекмедже и един шкаф</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 120x55x75cm</li>
<li><strong>Размери на шкафа:</strong> 40x54x38cm</li>
<li><strong>Размери на чекмеджето:</strong> 34,5x38,5x10cm</li>
<li><strong>Размери на рафта:</strong> 69,5x45,5x18,5cm</li>
</ul>

<p><strong>*Продуктите се доставят немонтирани в оригинални фабрични опаковки.</strong></p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Παιδικά πακέτα,[L] Παιδικά πακέτα,Детска стая,FALSE,Title,Default Title,9995264,shopify,29,deny,manual,724.27,928.58,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/76434/set-paidikoy-domatioy-6tmx-fb921337-xylo-2.jpg,3,Детски комплект стая 6 части PASCHAL HM21337 бор--меламин-бяло - снимка 3,FALSE,Детски комплект мебели 6 части PASCHAL HM21337 бор/бяло,"Комплект за детска стая 6 части PASCHAL HM21337 от бор. Включва нощно шкафче, легло тип Монтесори и още мебели за уют и организация. Поръчайте от MebelCenter!",kg,draft
mc-9995264,"Детски комплект мебели 6 части PASCHAL, бор-меламин-бял","<p><strong>Комплект за детска стая PASCHAL от 6 части, включващ нощно шкафче, легло тип Монтесори с предпазни парапети и матрак, гардероб, комод и детско бюро!</strong></p>

<p><strong>HM2488.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско нощно шкафче</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 46x30x55cm</li>
<li><strong>Размери на чекмеджето:</strong> 37x24x15,8cm</li>
<li><strong>Размери на рафта:</strong> 37x26,5x16cm</li>
</ul>

<p><strong>HM739.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско легло във форма на палатка тип Монтесори с предпазен парапет</li>
<li><strong>Материали:</strong> Дърво бор в БЯЛ-НАТУРАЛ цвят</li>
<li><strong>Общи размери:</strong> 200x97x157cm</li>
</ul>

<p><strong>HM374.01</strong></p>
<ul>
<li><strong>Продукт:</strong> Матрак от пяна (без пружини) с roll-packing опаковка</li>
<li><strong>Размери:</strong> 190x90x15cm</li>
</ul>

<p><strong>HM2494.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски гардероб</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 96x44x170cm</li>
<li><strong>Размери на рафтовете:</strong> 86,5x40,5x27cm</li>
<li><strong>Височина на закачането:</strong> 81,5cm</li>
</ul>

<p><strong>HM2493.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски комод с 3 чекмеджета</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 76x40x80.5cm</li>
<li><strong>Размери на чекмеджетата:</strong> 61.5x28.7x12.5cm</li>
</ul>

<p><strong>HM2496.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско бюро с едно чекмедже и един шкаф</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 120x55x75cm</li>
<li><strong>Размери на шкафа:</strong> 40x54x38cm</li>
<li><strong>Размери на чекмеджето:</strong> 34,5x38,5x10cm</li>
<li><strong>Размери на рафта:</strong> 69,5x45,5x18,5cm</li>
</ul>

<p><strong>*Продуктите се доставят немонтирани в оригинални фабрични опаковки.</strong></p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Παιδικά πακέτα,[L] Παιδικά πακέτα,Детска стая,FALSE,Title,Default Title,9995264,shopify,29,deny,manual,724.27,928.58,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/76434/set-paidikoy-domatioy-6tmx-fb921337-xylo-3.jpg,4,Детски комплект стая 6 части PASCHAL HM21337 бор--меламин-бяло - снимка 4,FALSE,Детски комплект мебели 6 части PASCHAL HM21337 бор/бяло,"Комплект за детска стая 6 части PASCHAL HM21337 от бор. Включва нощно шкафче, легло тип Монтесори и още мебели за уют и организация. Поръчайте от MebelCenter!",kg,draft
mc-9995264,"Детски комплект мебели 6 части PASCHAL, бор-меламин-бял","<p><strong>Комплект за детска стая PASCHAL от 6 части, включващ нощно шкафче, легло тип Монтесори с предпазни парапети и матрак, гардероб, комод и детско бюро!</strong></p>

<p><strong>HM2488.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско нощно шкафче</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 46x30x55cm</li>
<li><strong>Размери на чекмеджето:</strong> 37x24x15,8cm</li>
<li><strong>Размери на рафта:</strong> 37x26,5x16cm</li>
</ul>

<p><strong>HM739.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско легло във форма на палатка тип Монтесори с предпазен парапет</li>
<li><strong>Материали:</strong> Дърво бор в БЯЛ-НАТУРАЛ цвят</li>
<li><strong>Общи размери:</strong> 200x97x157cm</li>
</ul>

<p><strong>HM374.01</strong></p>
<ul>
<li><strong>Продукт:</strong> Матрак от пяна (без пружини) с roll-packing опаковка</li>
<li><strong>Размери:</strong> 190x90x15cm</li>
</ul>

<p><strong>HM2494.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски гардероб</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 96x44x170cm</li>
<li><strong>Размери на рафтовете:</strong> 86,5x40,5x27cm</li>
<li><strong>Височина на закачането:</strong> 81,5cm</li>
</ul>

<p><strong>HM2493.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детски комод с 3 чекмеджета</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 76x40x80.5cm</li>
<li><strong>Размери на чекмеджетата:</strong> 61.5x28.7x12.5cm</li>
</ul>

<p><strong>HM2496.03</strong></p>
<ul>
<li><strong>Продукт:</strong> Детско бюро с едно чекмедже и един шкаф</li>
<li><strong>Материали:</strong> Меламин в БЯЛ цвят с конструкция от дърво бор с кръстосани елементи</li>
<li><strong>Размери:</strong> 120x55x75cm</li>
<li><strong>Размери на шкафа:</strong> 40x54x38cm</li>
<li><strong>Размери на чекмеджето:</strong> 34,5x38,5x10cm</li>
<li><strong>Размери на рафта:</strong> 69,5x45,5x18,5cm</li>
</ul>

<p><strong>*Продуктите се доставят немонтирани в оригинални фабрични опаковки.</strong></p>",Europe,[L] Εσωτερικός χώρος > [L] Детска стая > [L] Παιδικά πακέτα,[L] Παιδικά πακέτα,Детска стая,FALSE,Title,Default Title,9995264,shopify,29,deny,manual,724.27,928.58,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/76434/set-paidikoy-domatioy-6tmx-fb921337-xylo-4.jpg,5,Детски комплект стая 6 части PASCHAL HM21337 бор--меламин-бяло - снимка 5,FALSE,Детски комплект мебели 6 части PASCHAL HM21337 бор/бяло,"Комплект за детска стая 6 части PASCHAL HM21337 от бор. Включва нощно шкафче, легло тип Монтесори и още мебели за уют и организация. Поръчайте от MebelCenter!",kg,draft
